Plugin,Plugin Name,Family,Severity,VPR,IP Address,NetBIOS Name,DNS Name,MAC Address,Repository,Agent ID
156014,Apache Log4j Remote Code Execution (Log4Shell) (CVE-2021-44228),Web Servers,Critical,9.8,192.168.1.100,WEB-PROD,web.corp.local,00:50:56:XX:YY:ZZ,Production,
147142,Microsoft Exchange Server Remote Code Execution (ProxyLogon) (CVE-2021-26855),Windows,Critical,9.8,192.168.1.101,EXCH-01,mail.corp.local,00:50:56:AA:BB:CC,Production,
151489,Windows Print Spooler Remote Code Execution (PrintNightmare) (CVE-2021-34527),Windows,High,8.8,192.168.1.105,FILE-SRV,files.corp.local,00:50:56:11:22:33,Production,
171432,Microsoft Outlook Elevation of Privilege (CVE-2023-23397),Windows,Critical,9.8,192.168.1.200,WORKSTATION-01,pc-01.corp.local,00:50:56:99:88:77,Workstations,
10043,OpenSSH < 4.4 Remote Code Execution (CVE-2006-5051),General,Medium,6.5,192.168.1.50,LEGACY-LINUX,linux.corp.local,00:50:56:44:55:66,Legacy,
57582,SSL Certificate Cannot Be Trusted,General,Medium,4.5,192.168.1.100,WEB-PROD,web.corp.local,00:50:56:XX:YY:ZZ,Production,
10879,Google Chrome < 100.0.4896.60 Multiple Vulnerabilities (CVE-2022-1096),Windows,High,7.2,192.168.1.201,WORKSTATION-02,pc-02.corp.local,00:50:56:77:66:55,Workstations,
189989,VMware vCenter Server Remote Code Execution (CVE-2021-21985),VMware,Critical,9.8,192.168.2.10,VCENTER-01,vcenter.corp.local,00:50:56:33:44:55,Virtualization,
192000,Apache HTTP Server Path Traversal and Remote Code Execution (CVE-2021-41773),Web Servers,High,8.6,192.168.1.100,WEB-PROD,web.corp.local,00:50:56:XX:YY:ZZ,Production,
142456,Citrix ADC and Gateway Remote Code Execution (CVE-2019-19781),Networking,Critical,9.8,192.168.3.1,CITRIX-GW,citrix.corp.local,00:50:56:66:77:88,Network,
179000,Microsoft Windows SMB Remote Code Execution (EternalBlue) (CVE-2017-0144),Windows,Critical,8.5,192.168.1.210,DC-01,dc01.corp.local,00:50:56:22:33:44,Domain Controllers,
202133,Confluence Server Remote Code Execution (CVE-2022-26134),Web Servers,Critical,10.0,192.168.1.110,CONFLUENCE,confluence.corp.local,00:50:56:AA:CC:DD,Production,
110001,Drupal Core Remote Code Execution (CVE-2018-7600),Web Servers,Critical,9.8,192.168.1.120,DRUPAL,drupal.corp.local,00:50:56:BB:DD:EE,Production,
95001,Heartbleed OpenSSL Information Disclosure (CVE-2014-0160),General,High,7.5,192.168.1.50,LEGACY-LINUX,linux.corp.local,00:50:56:44:55:66,Legacy,
135790,Apache Struts Remote Code Execution (CVE-2017-5638),Web Servers,Critical,10.0,192.168.1.130,JAVA-APP,javaapp.corp.local,00:50:56:CC:EE:FF,Production,
142000,Jenkins CLI Remote Code Execution (CVE-2022-34169),Development,High,8.8,192.168.4.10,JENKINS-01,jenkins.corp.local,00:50:56:DD:FF:11,DevOps,
185432,SolarWinds Orion API Authentication Bypass (CVE-2020-10148),Monitoring,Critical,9.8,192.168.5.10,SOLARWINDS,monitoring.corp.local,00:50:56:EE:11:22,Monitoring,
166000,F5 BIG-IP Remote Code Execution (CVE-2022-1388),Networking,Critical,9.8,192.168.3.2,F5-BIGIP,f5.corp.local,00:50:56:FF:22:33,Network,
123456,Linux Kernel Privilege Escalation (CVE-2021-4034),Linux,High,7.8,192.168.1.50,LEGACY-LINUX,linux.corp.local,00:50:56:44:55:66,Legacy,
177890,Microsoft SharePoint Remote Code Execution (CVE-2023-29357),Windows,Critical,9.8,192.168.1.140,SHAREPOINT,sharepoint.corp.local,00:50:56:22:AA:BB,Production,
155000,Oracle WebLogic Server Remote Code Execution (CVE-2020-14882),Web Servers,Critical,9.8,192.168.1.150,WEBLOGIC,weblogic.corp.local,00:50:56:33:BB:CC,Production,
199999,Fortinet FortiOS SSL-VPN Heap Buffer Overflow (CVE-2024-21762),Networking,Critical,9.6,192.168.3.3,FORTIGATE,firewall.corp.local,00:50:56:44:CC:DD,Network,
144321,Microsoft Windows MSHTML Remote Code Execution (CVE-2021-40444),Windows,Critical,8.8,192.168.1.202,WORKSTATION-03,pc-03.corp.local,00:50:56:55:DD:EE,Workstations,
112233,Adobe ColdFusion Remote Code Execution (CVE-2023-26360),Web Servers,Critical,9.8,192.168.1.160,COLDFUSION,cfusion.corp.local,00:50:56:66:EE:FF,Production,
165432,Atlassian Bitbucket Remote Code Execution (CVE-2022-36804),Development,High,9.0,192.168.4.20,BITBUCKET,bitbucket.corp.local,00:50:56:77:FF:00,DevOps,
188765,PHP Type Confusion Remote Code Execution (CVE-2024-4577),Web Servers,Critical,9.8,192.168.1.100,WEB-PROD,web.corp.local,00:50:56:XX:YY:ZZ,Production,
154321,Microsoft Windows SmartScreen Security Feature Bypass (CVE-2023-36025),Windows,High,8.2,192.168.1.203,WORKSTATION-04,pc-04.corp.local,00:50:56:88:00:11,Workstations,
143210,Cisco IOS XE Software Web UI Remote Code Execution (CVE-2023-20198),Networking,Critical,10.0,192.168.3.4,CISCO-ROUTER,router.corp.local,00:50:56:99:11:22,Network,
176543,GitLab Remote Code Execution (CVE-2021-22205),Development,Critical,10.0,192.168.4.30,GITLAB-SRV,gitlab.corp.local,00:50:56:00:22:33,DevOps,
132456,Linux Kernel Local Privilege Escalation (Dirty Pipe) (CVE-2022-0847),Linux,High,7.8,192.168.2.20,VM-LINUX,vmlinux.corp.local,00:50:56:11:33:44,Virtualization,
98765,TLS Version 1.0 and 1.1 Detection,General,Low,3.5,192.168.1.100,WEB-PROD,web.corp.local,00:50:56:XX:YY:ZZ,Production,
87654,Web Server Directory Listing Enabled,General,Low,2.5,192.168.1.110,CONFLUENCE,confluence.corp.local,00:50:56:AA:CC:DD,Production,
76543,Default Credentials Check,General,Medium,5.0,192.168.1.50,LEGACY-LINUX,linux.corp.local,00:50:56:44:55:66,Legacy,
65432,Apache HTTP Server Version Disclosure,General,Low,2.0,192.168.1.100,WEB-PROD,web.corp.local,00:50:56:XX:YY:ZZ,Production,
54321,MySQL Weak Password Policy,General,Medium,4.8,192.168.2.30,DB-SRV,db.corp.local,00:50:56:22:44:55,Database,
43210,Microsoft Windows Server 2012 R2 End of Life,General,Medium,5.5,192.168.1.210,DC-01,dc01.corp.local,00:50:56:22:33:44,Domain Controllers,
32109,SSL 64-bit Block Size Cipher Suites Supported (SWEET32),General,Medium,5.0,192.168.1.100,WEB-PROD,web.corp.local,00:50:56:XX:YY:ZZ,Production,
21098,NTP Mode 6 Enabled,General,Low,2.3,192.168.1.50,LEGACY-LINUX,linux.corp.local,00:50:56:44:55:66,Legacy,
